PLACE OF OCCURENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
TARLAC,Province,2023,"6,840",766,633,700,730,602,714,397,286,296,367,392,957
ZAMBALES,Province,2023,"2,336",199,631,173,204,195,161,120,82,77,107,80,307
CITY OF ANGELES,City,2023,"1,798",162,177,177,140,154,139,151,113,155,132,114,184
CITY OF OLONGAPO,City,2023,"1,055",80,175,108,76,82,107,65,67,54,66,49,126
REGION IV-A (CALABARZON),Region,2023,"60,541","5,809","7,156","5,399","4,392","5,018","6,830","4,737","2,807","4,100","3,849","3,048","7,396"
BATANGAS,Province,2023,"14,726","1,730","1,285","1,314","1,206","1,212","1,562","1,100",466,"1,019","1,000",616,"2,216"
CAVITE,Province,2023,"15,682","1,375","2,512","1,366",995,"1,121","1,740","1,034",790,"1,030",973,819,"1,927"
LAGUNA,Province,2023,"10,978",919,"1,418","1,088",747,936,"1,188",994,574,744,655,520,"1,195"
QUEZON,Province,2023,"7,429",702,651,568,561,784,976,670,271,563,495,411,777
RIZAL,Province,2023,"10,803",994,"1,238",983,811,874,"1,244",844,661,677,656,632,"1,189"
CITY OF LUCENA,City,2023,923,89,52,80,72,91,120,95,45,67,70,50,92
MIMAROPA REGION,Region,2023,"13,313","1,046","2,076","1,240","1,034","1,579","1,256",838,571,783,771,550,"1,569"
MARINDUQUE,Province,2023,"1,045",84,183,59,70,155,114,73,23,35,75,59,115
OCCIDENTAL MINDORO,Province,2023,"2,582",133,821,252,295,263,156,82,65,85,125,77,228
ORIENTAL MINDORO,Province,2023,"3,888",371,403,364,269,462,568,299,166,236,262,125,363
PALAWAN,Province,2023,"3,489",256,303,378,238,478,275,230,171,313,178,174,495
ROMBLON,Province,2023,991,78,118,70,84,119,61,60,67,32,38,54,210
CITY OF PUERTO PRINCESA,City,2023,"1,318",124,248,117,78,102,82,94,79,82,93,61,158
REGION V (BICOL REGION),Region,2023,"25,511","2,196","2,422","2,009","2,725","2,457","3,261","1,745","1,660","1,448","1,523",834,"3,231"
ALBAY,Province,2023,"6,020",575,394,433,467,698,920,296,321,314,425,179,998
CAMARINES NORTE,Province,2023,"2,685",181,222,139,377,178,440,241,285,218,124,101,179
CAMARINES SUR,Province,2023,"8,797",705,989,673,"1,235",685,931,600,380,422,526,283,"1,368"
CATANDUANES,Province,2023,892,77,71,56,82,113,97,66,47,47,44,53,139
MASBATE,Province,2023,"4,148",381,480,467,326,453,357,352,449,305,146,143,289
SORSOGON,Province,2023,"2,969",277,266,241,238,330,516,190,178,142,258,75,258
REGION VI (WESTERN VISAYAS),Region,2023,"32,230","2,701","4,503","4,110","2,993","3,183","2,928","2,073","1,721","1,953","1,841","1,286","2,938"
AKLAN,Province,2023,"2,476",207,182,198,169,354,226,156,168,156,257,101,302
ANTIQUE,Province,2023,"2,605",178,292,229,384,296,304,168,107,136,170,87,254
CAPIZ,Province,2023,"3,366",319,392,245,393,290,341,167,159,370,142,126,422
GUIMARAS,Province,2023,659,46,166,32,38,51,53,31,35,39,33,39,96
ILOILO,Province,2023,"7,386",583,"1,641",622,573,661,600,476,431,371,441,287,700
NEGROS OCCIDENTAL,Province,2023,"10,517",994,"1,431","1,387","1,071","1,147",998,742,557,632,531,385,642
CITY OF BACOLOD,City,2023,"3,195",204,190,"1,246",174,187,200,192,129,132,148,138,255
CITY OF ILOILO,City,2023,"2,026",170,209,151,191,197,206,141,135,117,119,123,267
REGION VII (CENTRAL VISAYAS),Region,2023,"34,506","3,610","3,239","2,492","2,100","3,657","3,642","2,859","2,279","3,357","2,511","1,768","2,992"
BOHOL,Province,2023,"6,472",672,679,371,444,953,697,487,434,448,415,323,549
CEBU,Province,2023,"12,936","1,431","1,332",864,665,"1,224","1,429","1,043",860,"1,542",980,671,895
NEGROS ORIENTAL,Province,2023,"7,556",826,741,687,596,793,676,622,378,579,553,334,771
SIQUIJOR,Province,2023,318,29,20,24,15,40,27,23,21,38,30,12,39
CITY OF CEBU,City,2023,"4,303",387,275,313,222,394,489,377,298,501,297,256,494
CITY OF LAPU-LAPU,City,2023,"1,689",154,113,131,76,150,178,156,182,154,140,93,162
CITY OF MANDAUE,City,2023,"1,232",111,79,102,82,103,146,151,106,95,96,79,82
REGION VIII (EASTERN VISAYAS),Region,2023,"13,748","1,111","2,014","1,040","1,109","1,316","1,455","1,174","1,008",857,814,566,"1,284"
BILIRAN,Province,2023,629,43,109,39,30,51,44,41,51,57,42,34,88
EASTERN SAMAR,Province,2023,"1,393",69,363,76,103,105,245,82,92,45,66,35,112
LEYTE,Province,2023,"5,765",568,667,461,394,654,675,452,398,373,286,285,552
NORTHERN SAMAR,Province,2023,"1,927",145,282,140,386,111,141,196,142,152,77,28,127
SAMAR,Province,2023,"1,934",133,394,171,87,141,131,158,165,115,182,82,175
SOUTHERN LEYTE,Province,2023,"1,461",110,158,97,82,193,166,118,110,81,119,71,156
CITY OF TACLOBAN,City,2023,639,43,41,56,27,61,53,127,50,34,42,31,74
REGION IX (ZAMBOANGA PENINSULA),Region,2023,"13,187","1,471","2,365","1,124",823,"1,173","1,050",980,917,820,705,777,982
ZAMBOANGA DEL NORTE,Province,2023,"4,436",398,"1,239",297,268,259,322,269,312,322,199,227,324
ZAMBOANGA DEL SUR,Province,2023,"3,779",456,612,398,243,434,284,314,222,201,203,185,227
ZAMBOANGA SIBUGAY,Province,2023,"2,005",255,155,149,98,182,197,180,139,105,127,180,238
CITY OF ISABELA,City,2023,244,21,9,20,78,16,14,11,27,14,12,19,3
CITY OF ZAMBOANGA,City,2023,"2,723",341,350,260,136,282,233,206,217,178,164,166,190
REGION X (NORTHERN MINDANAO),Region,2023,"20,992","1,792","2,355","1,542","1,390","1,765","2,412","2,109","1,705","1,786","1,247","1,345","1,544"
BUKIDNON,Province,2023,"6,410",556,896,548,418,544,665,427,628,417,376,381,554
CAMIGUIN,Province,2023,317,17,80,11,19,21,29,28,22,52,8,15,15
LANAO DEL NORTE,Province,2023,"1,637",235,187,173,105,103,209,105,95,86,114,107,118
MISAMIS OCCIDENTAL,Province,2023,"2,274",187,265,125,172,215,233,304,138,100,104,121,310
MISAMIS ORIENTAL,Province,2023,"3,457",289,362,229,248,298,635,328,240,233,190,183,222
CITY OF CAGAYAN DE ORO,City,2023,"5,434",268,344,366,380,473,555,801,436,738,375,472,226
CITY OF ILIGAN,City,2023,"1,463",240,221,90,48,111,86,116,146,160,80,66,99
REGION XI (DAVAO REGION),Region,2023,"22,403","1,821","2,120","1,742","1,337","1,624","3,547","1,853","1,901","1,927","1,556","1,207","1,768"
DAVAO DE ORO,Province,2023,"3,261",182,472,144,129,294,658,185,232,313,237,186,229
DAVAO DEL NORTE,Province,2023,"5,349",418,343,517,310,328,"1,160",409,439,439,359,247,380
DAVAO DEL SUR,Province,2023,"3,173",324,292,345,202,204,317,243,276,307,241,186,236
DAVAO OCCIDENTAL,Province,2023,"1,039",86,129,67,100,85,130,62,68,62,93,87,70
DAVAO ORIENTAL,Province,2023,"1,889",137,185,130,135,162,339,170,164,154,101,83,129
CITY OF DAVAO,City,2023,"7,692",674,699,539,461,551,943,784,722,652,525,418,724
REGION XII (SOCCSKSARGEN) 1,Region,2023,"16,494","1,511","1,822","1,446","1,229","1,026","1,737","1,098","1,353","1,258","1,178",901,"1,935"
COTABATO 2,Province,2023,"5,141",521,500,524,324,300,596,335,414,364,404,353,506
SARANGANI,Province,2023,"2,092",188,433,141,148,137,182,102,169,140,205,108,139
SOUTH COTABATO,Province,2023,"4,136",265,364,417,370,258,479,259,346,336,246,217,579
SULTAN KUDARAT,Province,2023,"2,510",274,258,175,191,148,220,164,247,219,140,86,388
CITY OF GENERAL SANTOS,City,2023,"2,615",263,267,189,196,183,260,238,177,199,183,137,323
REGION XIII (Caraga),Region,2023,"10,192",694,"1,519",730,829,831,"1,237",879,789,888,563,480,753
AGUSAN DEL NORTE,Province,2023,"1,405",96,306,77,105,81,106,120,83,160,69,51,151
AGUSAN DEL SUR,Province,2023,"2,597",158,432,173,202,237,380,203,181,165,141,170,155
DINAGAT ISLANDS,Province,2023,391,19,58,22,60,26,91,19,13,15,14,15,39
SURIGAO DEL NORTE,Province,2023,"2,174",140,376,209,255,171,146,165,144,253,119,86,110
SURIGAO DEL SUR,Province,2023,"2,217",139,272,143,138,147,364,230,208,194,124,84,174
CITY OF BUTUAN,City,2023,"1,408",142,75,106,69,169,150,142,160,101,96,74,124
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 3,Region,2023,"2,162",437,292,244,138,237,231,185,137,80,84,32,65
BASILAN,Province,2023,246,66,17,22,17,19,46,16,15,10,7,3,8
LANAO DEL SUR,Province,2023,616,96,84,92,43,63,55,53,35,21,36,7,31
MAGUINDANAO 4,Province,2023,899,195,155,101,53,92,101,75,56,38,27,6,-
SULU,Province,2023,268,56,23,19,19,46,19,24,17,3,9,12,21
TAWI-TAWI,Province,2023,133,24,13,10,6,17,10,17,14,8,5,4,5
TOTAL,,2024,"240,734","31,140","44,515","25,641","31,595","28,417","37,013","20,648","13,616","7,948",201,,
NATIONAL CAPITAL REGION (NCR),Region,2024,"34,281","3,887","7,067","3,441","3,500","3,493","4,994","3,238","2,862","1,799",-,,
City of Caloocan,City,2024,"3,173",329,818,307,316,329,414,279,238,143,-,,
City of Las Piñas,City,2024,"1,453",158,184,241,154,154,183,135,133,111,-,,
City of Makati,City,2024,"1,012",130,139,99,129,106,160,98,77,74,-,,
City of Malabon,City,2024,488,64,40,47,47,61,51,122,31,25,-,,
City of Mandaluyong,City,2024,820,48,253,58,95,68,77,87,68,66,-,,
City of Manila,City,2024,"5,508",731,958,556,636,642,950,591,444,-,-,,
City of Marikina,City,2024,"1,113",133,145,100,102,110,272,104,84,63,-,,
City of Muntinlupa,City,2024,"1,149",138,141,101,107,121,259,107,99,76,-,,
City of Navotas,City,2024,308,30,87,21,23,25,61,25,20,16,-,,
City of Parañaque,City,2024,"1,106",102,298,82,99,92,218,77,85,53,-,,
Pasay City,City,2024,"1,356",181,232,150,128,146,154,139,126,100,-,,
City of Pasig,City,2024,"1,571",212,203,196,199,186,237,131,115,92,-,,
