PLACE OF USUAL RESIDENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
COTABATO,Province,2022,"23,430","1,931","1,761","1,912","1,925","1,969","1,789","1,994","1,984","2,128","2,060","2,062","1,915"
SARANGANI,Province,2022,"8,963",795,621,727,744,729,840,852,820,739,510,810,776
SOUTH COTABATO,Province,2022,"15,067","1,253","1,065","1,237","1,221","1,215","1,171","1,236","1,304","1,353","1,350","1,280","1,382"
SULTAN KUDARAT,Province,2022,"12,200","1,041",883,977,995,948,917,"1,111","1,058","1,076","1,072","1,046","1,076"
CITY OF GENERAL SANTOS,City,2022,"10,564",911,686,860,812,858,862,886,896,926,891,"1,013",963
REGION XIII (Caraga),Region,2022,"39,986","3,443","2,815","3,042","2,974","3,180","3,201","3,421","3,552","3,784","3,304","3,732","3,538"
AGUSAN DEL NORTE,Province,2022,"5,365",456,365,388,393,428,414,473,479,565,479,485,440
AGUSAN DEL SUR,Province,2022,"11,018",957,809,890,830,869,878,957,967,"1,040",958,971,892
DINAGAT ISLANDS,Province,2022,"1,303",83,89,95,87,106,89,101,125,140,128,134,126
SURIGAO DEL NORTE,Province,2022,"6,695",604,500,521,506,558,538,605,638,555,302,690,678
SURIGAO DEL SUR,Province,2022,"10,490",933,729,753,775,812,861,873,898,973,964,"1,006",913
CITY OF BUTUAN,City,2022,"5,115",410,323,395,383,407,421,412,445,511,473,446,489
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Region,2022,"40,035","3,587","3,231","3,429","3,396","3,536","3,282","3,187","2,947","3,217","3,218","3,424","3,581"
BASILAN,Province,2022,"3,141",264,216,244,258,269,250,256,261,293,281,266,283
LANAO DEL SUR,Province,2022,"8,888",781,710,699,741,755,724,712,671,714,727,811,843
MAGUINDANAO,Province,2022,"22,120","1,919","1,745","1,908","1,829","1,944","1,800","1,728","1,534","1,775","1,888","1,958","2,092"
SULU,Province,2022,"4,087",408,385,402,393,365,357,352,360,306,204,284,271
TAWI-TAWI,Province,2022,"1,799",215,175,176,175,203,151,139,121,129,118,105,92
FOREIGN COUNTRY,,2022,56,3,5,2,3,3,3,6,8,3,7,6,7
TOTAL,,2023,"1,448,522","133,758","111,465","119,883","111,867","116,152","111,149","115,608","119,645","134,307","132,252","123,096","119,340"
NATIONAL CAPITAL REGION (NCR),Region,2023,"164,002","13,891","11,829","12,998","12,326","13,152","12,660","13,479","14,086","15,335","15,672","14,490","14,084"
City of Caloocan,City,2023,"20,234","1,731","1,524","1,623","1,499","1,693","1,495","1,620","1,771","1,923","1,918","1,747","1,690"
City of Las Piñas,City,2023,"7,337",612,504,581,580,603,627,606,579,683,662,643,657
City of Makati,City,2023,"5,516",518,437,455,456,446,429,481,471,476,474,449,424
City of Malabon,City,2023,"5,072",406,375,392,410,371,354,458,455,477,512,431,431
City of Mandaluyong,City,2023,"4,572",391,301,353,310,386,365,365,401,420,450,419,411
City of Manila,City,2023,"23,896","1,996","1,684","1,867","1,790","1,933","1,862","1,934","2,097","2,240","2,300","2,134","2,059"
City of Marikina,City,2023,"5,737",490,403,457,411,497,465,465,477,543,542,494,493
City of Muntinlupa,City,2023,"6,045",513,444,502,466,476,481,444,512,574,581,525,527
City of Navotas,City,2023,"3,651",299,264,255,316,307,273,312,292,345,341,336,311
City of Parañaque,City,2023,"8,108",663,600,645,587,626,636,710,708,746,784,705,698
Pasay City,City,2023,"5,018",434,372,413,355,413,361,431,436,439,472,456,436
City of Pasig,City,2023,"10,674",964,748,844,786,788,806,870,925,993,"1,066",965,919
Quezon City,City,2023,"34,784","2,994","2,547","2,834","2,593","2,762","2,660","2,865","2,924","3,261","3,384","3,038","2,922"
City of San Juan,City,2023,"1,260",126,92,96,106,95,119,94,97,118,103,110,104
City of Taguig,City,2023,"12,921","1,029",887,983,979,"1,009",997,"1,062","1,125","1,212","1,212","1,231","1,195"
City of Valenzuela,City,2023,"8,489",685,587,648,635,695,677,712,755,808,794,742,751
Pateros,City,2023,688,40,60,50,47,52,53,50,61,77,77,65,56
CORDILLERA ADMINISTRATIVE REGION (CAR),Region,2023,"25,447","2,294","1,973","2,102","1,974","1,969","2,009","1,991","2,117","2,434","2,229","2,149","2,206"
ABRA,Province,2023,"2,819",286,219,211,202,190,216,229,245,261,254,266,240
APAYAO,Province,2023,"1,898",157,138,129,143,154,143,158,163,179,172,176,186
BENGUET,Province,2023,"6,338",598,514,575,527,514,464,461,547,564,546,487,541
IFUGAO,Province,2023,"3,311",304,251,275,248,268,255,282,270,310,273,291,284
KALINGA,Province,2023,"3,855",311,278,316,298,283,320,284,299,408,356,359,343
MOUNTAIN PROVINCE,Province,2023,"2,300",230,180,188,168,170,186,199,192,224,207,168,188
CITY OF BAGUIO,Province,2023,"4,926",408,393,408,388,390,425,378,401,488,421,402,424
REGION I (ILOCOS REGION),Region,2023,"67,988","6,143","4,930","5,267","4,988","5,198","5,054","5,293","5,530","6,742","6,614","6,229","6,000"
ILOCOS NORTE,Province,2023,"7,062",577,492,529,511,520,526,582,529,777,745,651,623
ILOCOS SUR,Province,2023,"7,909",753,602,659,543,587,606,616,671,803,708,678,683
LA UNION,Province,2023,"9,719",907,678,800,743,783,719,751,775,892,918,878,875
PANGASINAN,Province,2023,"43,298","3,906","3,158","3,279","3,191","3,308","3,203","3,344","3,555","4,270","4,243","4,022","3,819"
REGION II (CAGAYAN VALLEY),Region,2023,"48,749","4,454","3,588","3,849","3,618","3,521","3,552","3,915","4,085","4,814","4,687","4,370","4,296"
BATANES,Province,2023,222,24,11,18,22,11,9,20,21,23,23,21,19
CAGAYAN,Province,2023,"15,465","1,416","1,139","1,169","1,119","1,133","1,149","1,235","1,296","1,588","1,517","1,333","1,371"
ISABELA,Province,2023,"22,579","2,079","1,674","1,754","1,657","1,609","1,615","1,780","1,914","2,231","2,189","2,096","1,981"
NUEVA VIZCAYA,Province,2023,"7,328",664,534,637,558,541,570,613,598,681,641,652,639
QUIRINO,Province,2023,"3,155",271,230,271,262,227,209,267,256,291,317,268,286
REGION III (CENTRAL LUZON),Region,2023,"166,344","14,975","12,308","13,146","12,398","13,094","12,673","13,192","13,835","16,268","15,953","14,733","13,769"
AURORA,Province,2023,"3,751",361,252,333,289,284,282,251,324,380,323,339,333
BATAAN,Province,2023,"12,416","1,133",929,948,873,975,915,948,"1,047","1,185","1,234","1,171","1,058"
BULACAN,Province,2023,"47,298","4,366","3,528","3,740","3,563","3,741","3,699","3,845","3,863","4,428","4,668","4,080","3,777"
NUEVA ECIJA,Province,2023,"29,929","2,671","2,185","2,394","2,227","2,290","2,234","2,392","2,556","3,034","2,878","2,734","2,334"
PAMPANGA,Province,2023,"34,830","3,074","2,527","2,714","2,561","2,799","2,612","2,703","2,968","3,492","3,309","3,119","2,952"
TARLAC,Province,2023,"19,878","1,753","1,524","1,556","1,480","1,538","1,510","1,528","1,575","1,961","1,964","1,750","1,739"
ZAMBALES,Province,2023,"8,984",807,669,709,690,694,724,769,736,907,724,752,803
CITY OF ANGELES,City,2023,"6,353",522,477,528,507,510,481,504,549,615,578,532,550
CITY OF OLONGAPO,City,2023,"2,905",288,217,224,208,263,216,252,217,266,275,256,223
REGION IV-A (CALABARZON),Region,2023,"217,906","19,298","16,183","17,135","15,696","17,204","16,800","17,361","18,281","20,607","20,738","19,680","18,923"
BATANGAS,Province,2023,"39,060","3,486","2,919","3,039","2,712","3,079","2,970","3,053","3,283","3,706","3,806","3,613","3,394"
CAVITE,Province,2023,"57,275","4,887","4,185","4,516","4,196","4,505","4,388","4,598","4,858","5,454","5,494","5,135","5,059"
LAGUNA,Province,2023,"44,575","3,872","3,253","3,502","3,252","3,501","3,625","3,529","3,756","4,206","4,194","4,022","3,863"
QUEZON,Province,2023,"27,480","2,532","2,150","2,198","1,947","2,156","1,968","2,170","2,225","2,650","2,627","2,444","2,413"
RIZAL,Province,2023,"45,096","4,064","3,363","3,527","3,284","3,626","3,520","3,641","3,787","4,195","4,239","4,052","3,798"
CITY OF LUCENA,City,2023,"4,420",457,313,353,305,337,329,370,372,396,378,414,396
MIMAROPA REGION,Region,2023,"43,467","4,029","3,339","3,650","3,418","3,361","3,257","3,315","3,375","4,093","4,004","3,859","3,767"
MARINDUQUE,Province,2023,"2,856",295,214,248,207,222,204,196,210,283,257,267,253
OCCIDENTAL MINDORO,Province,2023,"7,185",688,573,605,583,541,520,534,574,682,662,627,596
ORIENTAL MINDORO,Province,2023,"12,761","1,130",979,"1,037",941,953,925,983,989,"1,244","1,216","1,204","1,160"
PALAWAN,Province,2023,"13,120","1,223","1,015","1,166","1,066","1,079","1,019","1,030",982,"1,140","1,192","1,132","1,076"
ROMBLON,Province,2023,"4,173",378,297,327,331,298,320,305,348,410,389,367,403
CITY OF PUERTO PRINCESA,City,2023,"3,372",315,261,267,290,268,269,267,272,334,288,262,279
REGION V (BICOL REGION),Region,2023,"97,716","9,278","7,459","7,632","7,037","7,364","7,177","7,695","7,985","9,673","9,180","8,460","8,776"
ALBAY,Province,2023,"20,813","1,928","1,531","1,570","1,472","1,522","1,524","1,663","1,744","2,087","1,971","1,845","1,956"
CAMARINES NORTE,Province,2023,"11,179","1,076",845,863,787,867,832,889,926,"1,071","1,030",985,"1,008"
CAMARINES SUR,Province,2023,"32,652","3,080","2,544","2,594","2,416","2,431","2,429","2,565","2,656","3,262","3,026","2,764","2,885"
CATANDUANES,Province,2023,"4,177",390,340,337,307,343,332,323,341,438,354,336,336
MASBATE,Province,2023,"15,060","1,539","1,159","1,188","1,054","1,145","1,034","1,166","1,157","1,515","1,482","1,324","1,297"
SORSOGON,Province,2023,"13,835","1,265","1,040","1,080","1,001","1,056","1,026","1,089","1,161","1,300","1,317","1,206","1,294"
REGION VI (WESTERN VISAYAS),Region,2023,"87,204","8,497","6,920","7,506","6,849","7,060","6,791","6,889","7,258","7,969","7,782","7,357","6,326"
AKLAN,Province,2023,"7,434",658,599,586,594,642,535,575,546,672,692,679,656
ANTIQUE,Province,2023,"6,045",611,547,551,549,482,478,492,493,521,424,404,493
CAPIZ,Province,2023,"9,598",899,667,812,697,748,732,706,830,878,928,836,865
GUIMARAS,Province,2023,"2,447",225,186,190,198,174,180,175,192,266,232,198,231
ILOILO,Province,2023,"23,596","2,164","1,753","1,967","1,722","1,896","1,820","1,793","2,038","2,165","2,199","2,073","2,006"
NEGROS OCCIDENTAL,Province,2023,"27,726","3,013","2,334","2,532","2,287","2,296","2,249","2,356","2,313","2,482","2,329","2,324","1,211"
CITY OF BACOLOD,City,2023,"5,436",500,431,441,428,433,426,427,436,542,502,445,425
CITY OF ILOILO,City,2023,"4,922",427,403,427,374,389,371,365,410,443,476,398,439
REGION VII (CENTRAL VISAYAS),Region,2023,"117,337","10,586","8,803","9,623","8,914","9,369","8,916","9,500","9,531","10,757","10,975","10,133","10,230"
BOHOL,Province,2023,"18,025","1,668","1,442","1,520","1,355","1,418","1,275","1,472","1,454","1,658","1,663","1,568","1,532"
CEBU,Province,2023,"49,099","4,410","3,607","3,872","3,688","3,829","3,749","3,999","4,039","4,556","4,612","4,328","4,410"
NEGROS ORIENTAL,Province,2023,"20,142","1,920","1,610","1,842","1,559","1,602","1,594","1,587","1,569","1,722","1,800","1,599","1,738"
SIQUIJOR,Province,2023,"1,061",92,79,88,74,99,90,83,97,95,99,78,87
CITY OF CEBU,City,2023,"15,207","1,300","1,118","1,196","1,161","1,283","1,200","1,223","1,238","1,390","1,437","1,375","1,286"
CITY OF LAPU-LAPU,City,2023,"8,137",724,537,673,615,647,619,625,672,784,795,711,735
CITY OF MANDAUE,City,2023,"5,666",472,410,432,462,491,389,511,462,552,569,474,442
REGION VIII (EASTERN VISAYAS),Region,2023,"60,003","5,742","4,924","5,336","4,738","4,912","4,417","4,738","4,862","5,624","5,458","4,425","4,827"
BILIRAN,Province,2023,"2,654",264,215,235,216,233,186,194,216,217,246,207,225
EASTERN SAMAR,Province,2023,"6,333",593,501,565,506,520,462,504,536,582,579,473,512
LEYTE,Province,2023,"24,190","2,333","1,965","2,104","1,837","1,965","1,839","1,965","1,978","2,337","2,136","1,747","1,984"
NORTHERN SAMAR,Province,2023,"7,607",785,667,738,670,669,522,586,563,611,715,569,512
SAMAR,Province,2023,"11,570","1,059",992,"1,020",885,934,803,900,904,"1,118","1,040",941,974
SOUTHERN LEYTE,Province,2023,"4,410",400,328,407,336,320,335,315,380,406,421,364,398
CITY OF TACLOBAN,City,2023,"3,239",308,256,267,288,271,270,274,285,353,321,124,222
REGION IX (ZAMBOANGA PENINSULA),Region,2023,"55,313","5,397","4,568","4,992","4,779","4,618","4,366","4,277","4,367","4,689","4,602","4,429","4,229"
